#frame_rate,rig,genotype,targeted_structure,depth,experiment_id
None,CAM2P.2,None,VISp,375,486497925
None,CAM2P.2,None,VISp,375,486498389
None,CAM2P.2,None,VISl,275,486500554
None,CAM2P.2,None,VISl,275,486502231
None,CAM2P.2,None,VISp,275,486513183
None,CAM2P.2,None,VISp,275,486515441
None,CAM2P.2,None,VISp,375,486554118
None,CAM2P.2,None,VISp,375,486556641
None,CAM2P.2,None,VISp,375,486670660
None,CAM2P.1,None,VISpm,175,486709467
None,CAM2P.2,None,VISp,275,486765329
None,CAM2P.2,None,VISp,375,486773088
None,CAM2P.2,None,VISp,275,486788531
None,CAM2P.2,None,VISp,250,495764631
None,CAM2P.2,None,VISp,250,495893022
None,CAM2P.2,None,VISp,250,495896417
None,CAM2P.2,None,VISp,250,495936692
None,CAM2P.2,None,VISp,250,496075944
None,CAM2P.2,None,VISp,250,496082450
None,CAM2P.2,None,VISp,250,496098799
None,CAM2P.2,None,VISp,250,496115267
None,CAM2P.1,None,VISp,250,496597015
None,CAM2P.2,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISp,275,496597502
None,CAM2P.1,None,VISp,275,496718643
None,CAM2P.1,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISp,275,496751798
None,CAM2P.1,Scnn1a-Tg3-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),VISp,350,496840902
None,CAM2P.2,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISp,275,496908818
None,CAM2P.1,None,VISp,275,496910750
None,CAM2P.2,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISp,275,496934409
None,CAM2P.2,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISp,275,496935917
None,CAM2P.1,None,VISp,250,496959323
None,CAM2P.2,None,VISp,250,496959825
None,CAM2P.2,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISpm,275,496967948
None,CAM2P.2,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISpm,275,497051128
None,CAM2P.1,Scnn1a-Tg3-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),VISp,350,497060401
None,CAM2P.2,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISpm,275,497251555
None,CAM2P.1,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISpm,275,497256116
None,CAM2P.1,Rorb-IRES2-Cre/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,VISp,175,500835264
None,CAM2P.1,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),VISp,175,500855614
